time,S,SR,C,CR,M1,M2,TH1,TH2,TC,Treg,IL10,IFNgamma,IL2,color
0.0,1.0,0.0,0.0,0.0,85000.0,15000.0,71000.0,12000.0,56000.0,8000.0,0.0085,0.12,0.0094,black
0.5012531328320802,6.771911203171779,0.0,1.9187486301017231,0.0,59447.426420242125,26337.523443874747,65860.91431616327,10694.243557923239,66738.99673004875,8202.300480357175,2588.467450485645,863.2197205134064,4369.8116516493665,black
1.0025062656641603,35.93131192472239,0.0,15.529075686374023,0.0,39057.94353520126,30554.028170676327,61090.67800365705,9529.837220728496,79537.45066580297,8410.569715761285,5537.361903055654,1732.7145718768725,8280.439259115186,black
1.5037593984962405,158.5745937256585,0.0,82.86953514250986,0.0,25531.39215708528,30901.238126055578,56665.879120510566,8492.1776540785,94790.24988550229,8624.146648604294,8306.10820934938,2598.1020003007584,11853.908800821613,black
2.0050125313283207,599.1796950928743,0.0,351.0103070851019,0.0,16677.266681105226,29178.133864677377,52561.55225274775,7567.490589808666,112968.06055845188,8843.151824660907,10650.2591495202,3449.338259415929,15207.401430330066,black
2.506265664160401,1976.344740449673,0.0,1256.5685764124576,0.0,10892.18565076973,26454.03781165838,48754.4990184539,6743.48316312023,134631.8084181198,9067.718852345415,12487.615618072417,4278.303948148052,18455.845250797014,black
3.007518796992481,5777.139938011888,0.0,3923.0457677898376,0.0,7113.654493140243,23361.04748856944,45223.19245602334,6009.196256608976,160449.98737744088,9297.98710942745,13824.201067483978,5078.552458900098,21714.585605514814,black
3.508771929824561,15156.764117184723,0.0,10893.79066097662,0.0,4645.90289471303,20260.659423007288,41947.66198529536,5354.862251373316,191219.28767654827,9534.10035218496,14710.427875219018,5845.0726634202865,25102.19517919618,black
4.010025062656641,36084.336039124624,0.0,27293.4551723686,0.0,3034.2550722301826,17347.33794037673,38909.382380960145,4771.776269906229,227889.1799163874,9776.206351990275,15215.302401318313,6574.078550355964,28743.493638195254,black
4.511278195488721,78717.74012819743,0.0,62401.88926287629,0.0,1981.7221088224596,14713.97216803995,36091.16968938466,4252.180859807263,271591.21355599666,10024.45681285156,15411.732593819534,7262.824909929179,32772.85560787187,black
5.012531328320802,158722.6544435639,0.0,131444.36429972053,0.0,1294.3370608096407,12393.198839877365,33477.08433043028,3789.1630209516975,323673.93395491876,10279.00738825286,15368.64285372287,7909.446532655654,37337.89653961434,black
5.513784461152882,298127.4555896057,0.0,257207.40488676183,0.0,845.4222520623478,10383.288596632958,31052.341085168046,3376.5623536873786,385744.49541600735,10540.017740170028,15147.194278696534,8512.818284039238,42603.63924539506,black
6.015037593984962,525300.7815775882,0.0,470968.2847009171,0.0,552.2468618684547,8664.161957628936,28803.22554802433,3008.8891647920223,459718.25431186415,10807.651618998863,14799.414321042565,9072.433603705442,48757.28007200998,black
6.516290726817042,873782.689211685,0.0,812254.28788874,0.0,360.7811857796295,7207.120827008697,26717.016605066787,2681.251467955203,547877.8726279107,11082.076955464865,14368.18098518184,9588.299219639952,56013.693385101804,black
7.017543859649122,1379958.935367491,0.0,1327145.6364459847,0.0,235.73966702483412,5980.605974499103,24781.914514293487,2389.2899204363675,652943.7557184167,11363.465960403795,13887.914859814953,10060.844108297333,64621.836864708755,black
7.518796992481203,2079855.5598236872,0.0,2065153.070128262,0.0,154.07814454017682,4953.465593281825,22986.974187496286,2129.119837013227,778157.9978305581,11651.995230370927,13385.59078325327,10490.840953775933,74872.24883494522,black
8.020050125313283,3005551.6046107193,0.0,3075037.428628747,0.0,100.74703175316382,4096.68574971965,21322.04329942784,1897.2795134744745,927384.4257609484,11947.845857985229,12881.843304377948,10879.338560372042,87105.86335902823,black
8.521303258145362,4181795.889220638,0.0,4400188.832876582,0.0,65.91780991500596,3384.1881189598503,19777.704876008647,1690.6841742852068,1105227.8277641374,12251.20354636758,12392.040903631694,11227.603852863693,101724.41020796385,black
9.022556390977442,5623355.6038538255,0.0,6074278.285431639,0.0,43.17171436554567,2793.077613567392,18345.224038126973,1506.5849330154363,1317176.0468472554,12562.258727252029,11927.265512499194,11537.072259230232,119202.71634407512,black
9.523809523809524,7333454.224577667,0.0,8117822.545363474,0.0,28.316808109252598,2303.5792912880697,17016.498600831022,1342.5322203187015,1569769.3231266378,12881.20668245894,11495.17061869635,11809.305412965923,140103.28478778104,black
10.025062656641603,9303434.325752286,0.0,10536102.9186269,0.0,18.61544084740355,1898.8122585749643,15784.013249312997,1196.3431933925015,1870802.110766149,13208.247668479924,11100.71242623585,12045.955238491008,165093.597494584,black
10.526315789473683,11513568.657652866,0.0,13318617.29637384,0.0,12.279721156641346,1564.4899510996886,14640.797033100887,1066.0726936438243,2229563.597109629,13543.587043970769,10746.760082090217,12248.733595099646,194966.67335050975,black
11.027568922305765,13934784.379504679,0.0,16439991.14002383,0.0,8.142021669883468,1288.5993340848122,13580.383938428302,949.987366376091,2657124.34588062,13887.435399998933,10434.596658262046,12419.386753973966,230665.51321194562,black
11.528822055137844,16530980.082764765,0.0,19862077.908309072,0.0,5.439794094912488,1061.0885423228756,12596.776315978923,846.5425983089112,3166677.9096067804,14240.008692954132,10164.324774972578,12559.674070454701,273312.1841874392,black
12.030075187969924,19261600.69518196,0.0,23536867.114479933,0.0,3.675037209053962,873.5782953980208,11684.410957219057,754.3619661823132,3773947.952651458,14601.528380104994,9935.190960332418,12671.350291266635,324242.43880117766,black
12.531328320802004,22084174.79772543,0.0,27409788.78675542,0.0,2.522518884691834,719.1038603619213,10838.12762744004,672.2189230719745,4497673.447736199,14972.221557865407,9745.84198627854,12756.15100489303,385046.93572119006,black
13.032581453634084,24956590.079629615,0.0,31423039.828550193,0.0,1.7698381765283775,591.8893175203052,10053.139877510368,599.0204787908168,5360186.9180441955,15352.321102912567,9594.52505860621,12815.780803797608,457620.3326663006,black
13.533834586466165,27838964.658387285,0.0,35518636.35147687,0.0,1.2782813590385802,487.1530823422866,9325.007969248021,533.7926572656625,6388103.568105268,15742.065816364702,9479.242200307875,12851.903780609591,544219.7652090235,black
14.035087719298245,30695049.00510531,0.0,39640992.310072005,0.0,0.9572579831097827,400.942195703039,8649.61376132383,475.6675374101927,7613142.568482197,16141.700571272644,9397.86763850459,12866.13602752931,647534.5149894851,black
14.536340852130325,33493155.7678594,0.0,43738919.38940491,0.0,0.7476057044969837,329.9922740387709,8023.137413743637,423.8717050764332,9073105.837256452,16551.47646370194,9348.235584383763,12860.039849789422,770769.0162817895,black
15.037593984962406,36206659.07884726,0.0,47767023.508133434,0.0,0.6106870848024544,271.60986912782136,7442.035779280805,377.7159624371156,10813044.521256678,16971.650967681308,9328.204527678685,12835.11944065841,917741.761568166,black
15.538847117794486,38814131.31701092,0.0,51686533.4227801,0.0,0.5212689858692402,223.5741112521854,6903.022359793025,336.5861578801585,12886649.172043463,17402.488094273514,9335.703066098458,12792.81779776356,1093003.157500808,black
16.040100250626566,41299196.59181755,0.0,55465635.77497575,0.0,0.4628722808016197,184.05476869065782,6403.048714208894,299.9350144043111,15357906.514351103,17844.258554992586,9368.76135204342,12734.514688938481,1301975.967490995,black
16.541353383458645,43650180.26626117,0.0,59079410.84968086,0.0,0.42473486656793763,151.54417232774685,5939.287213163446,267.27484779016555,18303073.93066801,18297.239929753592,9425.531451114237,12661.525500811254,1551122.674181629,black
17.042606516290725,45859626.532981314,0.0,62509468.32707658,0.0,0.3998282850819069,124.80078099657885,5509.1150428544415,238.17107766252602,21813032.590895332,18761.71683950434,9504.299252561703,12575.100825339985,1848144.9259246206,black
17.543859649122805,47923744.73945736,0.0,65743376.87261699,0.0,0.383562427497247,102.80247567877093,5110.09936771771,212.23644510690175,25996091.83855638,19237.981123656893,9603.490033227246,12476.426658815204,2202221.221351445,black
18.045112781954884,49841832.37912203,0.0,68773969.60880472,0.0,0.37293960944143656,84.70795637921788,4739.983568044521,189.12585990720106,30981331.371061046,19726.332022413102,9721.669336398925,12366.62510480551,2624290.166228189,black
18.546365914786968,51615710.175795585,0.0,71598592.67832628,0.0,0.3660021187590134,69.82486907620007,4396.6744747108005,168.53180884769512,36922584.345466144,20227.076364062945,9857.540469760585,12246.755487389577,3127388.0429912726,black
19.047619047619047,53249193.53868139,0.0,74218348.67219906,0.0,0.3614714229908319,57.58351093097154,4078.230528805298,150.18026398873678,44003184.32023325,20740.528757327374,10009.939638267166,12117.815794045388,3727051.1094977953,black
19.548872180451127,54747615.36365701,0.0,76637372.25384521,0.0,0.3585125447969542,47.515151458924365,3782.850799154764,133.827036476558,52441622.5119736,21267.011788816406,10177.82949634075,11980.74437896854,4441795.040806504,black
20.050125313283207,56117407.83406807,0.0,78862162.7614654,0.0,0.3565801815124337,39.23416845488576,3508.864795587054,119.254527376094,62498289.937915936,21806.856225677246,10360.291718981132,11836.421867561578,5293686.308420022,black
20.551378446115287,57365745.421454154,0.0,80900988.29828314,0.0,0.3553182096855353,32.42333333188097,3254.7230202664337,106.26883229713634,74483512.48961762,22360.40122351472,10556.519044623426,11685.673211542695,6309023.1282282695,black
21.052631578947366,58500247.46502001,0.0,82763367.8504641,0.0,0.3544940540632569,26.821694507127866,3018.9882036108947,94.69716129202041,88767126.88477221,22927.994539675266,10765.807126664995,11529.269851717145,7519146.98982938,black
21.553884711779446,59528736.22586871,0.0,84459632.11545415,0.0,0.3539558256022931,22.21460263628788,2800.3271751724583,84.38553969613022,105789892.98704869,23509.99275199569,10987.546439591333,11367.93195206998,8961409.808950614,black
22.05513784461153,60459044.87459744,0.0,86000559.67896494,0.0,0.35360432938994063,18.42550072899765,2597.5033234587554,75.19675932107151,126077094.65381803,24106.761483127848,11221.214414669603,11202.330674593572,10680326.547202177,black
22.55639097744361,61298869.21023254,0.0,87397082.60641253,0.0,0.3533747837210148,15.30916794924904,2409.3696020093557,67.00855274060162,150254748.80161405,24718.675630559934,11466.367925259807,11033.090469260693,12728948.866255369,black
23.05764411027569,62055656.797215775,0.0,88660054.08328335,0.0,0.35322488128984886,12.746160404390519,2234.8620421361056,59.71196637770581,179068922.86498067,25346.1196024638,11722.636199663768,10860.791357885948,15170502.204347886,black
23.55889724310777,62736527.46127909,0.0,89800070.15142347,0.0,0.35312699225615235,10.63823731046544,2072.993735607744,53.209910745988,213408756.74122787,25989.487559505757,11989.714207452782,10685.971194366763,18080336.791550323,black
24.06015037593985,63348219.56293023,0.0,90827337.5943798,0.0,0.35306307226404954,8.904598173205109,1922.849253222275,47.41586855551373,254333899.62602502,26649.18366276564,12267.356541254581,10509.127887030965,21548252.80770503,black
24.561403508771928,63897057.064040095,0.0,91751580.42334329,0.0,0.3530213369975461,7.47878737309013,1783.5794676806272,42.25274349356322,303107208.3783007,27325.622327915484,12555.371798321401,10330.721571605141,25681271.432150345,black
25.062656641604008,64388933.04445819,0.0,92581978.05085799,0.0,0.3529940904162959,6.306147905415766,1654.396751465872,37.65183436240479,361233716.4116484,28019.22848581512,12853.61745346534,10151.176725712126,30606937.293546304,black
25.563909774436087,64829305.96169984,0.0,93327128.99746947,0.0,0.35297630643091266,5.341726933242017,1534.570522556726,33.551920924081514,430507075.6038702,28730.437849687667,13161.99520603207,9970.884217856186,36477254.225940965,black
26.065162907268167,65223205.54603762,0.0,93995034.77546522,0.0,0.3529647026306996,4.548553036965182,1423.423112774266,29.898449288495407,513064904.3179435,29459.69718904299,13480.446777610376,9790.203285604672,43473375.77972044,black
26.56641604010025,65575245.76784709,0.0,94593099.37888697,0.0,0.35295713535834383,3.896219231604694,1320.3259353876356,26.642806005469676,611454749.4361371,30207.4646105223,13808.950133445063,9609.463439162886,51811195.22492918,black
27.06766917293233,65889642.79547242,0.0,95128140.54547854,0.0,0.3529522046485561,3.359717505225057,1224.6959302997705,23.741671201948364,728712697.8735887,30974.209845841724,14147.516098484168,9428.966287798454,61748007.54415074,black
27.56892230576441,66170236.27829079,0.0,95606409.62437986,0.0,0.35294899622317893,2.9184802468829547,1135.9922667043056,21.15644215688144,868457063.3153824,31760.414547017528,14496.18533820971,9248.987287632897,73590448.98651683,black
28.07017543859649,66420512.64345549,0.0,96033617.47435273,0.0,0.35294691299469555,2.5555918477825363,1053.7132845632827,18.852719643885663,1035000039.151885,32566.57258906032,14855.025674540866,9069.777410206274,87703959.18074004,black
28.57142857142857,66643629.39068813,0.0,96414964.32919565,0.0,0.3529455650253686,2.2571402715397673,977.3936576063783,16.79985020681524,1233480762.968919,33393.19038033019,15224.129707889013,8891.564731959714,104524057.78657047,black
29.07268170426065,66842439.61356514,0.0,96755172.00281677,0.0,0.35294469766227166,2.0116837481226804,906.6017618057682,14.970518277593001,1470023898.6116893,34240.787180749605,15603.61271768409,8714.555945390017,124569783.65240775,black
29.57393483709273,67019516.17447856,0.0,97058517.17189968,0.0,0.3529441446041046,1.8098121551996358,840.9372344443284,13.340382709077513,1751928629.4463313,35109.89542807579,15993.610815225536,8538.937793127561,148459711.19297698,black
30.075187969924812,67177175.12029646,0.0,97328864.77642564,0.0,0.3529437972502355,1.6437862766917142,780.0287099712824,11.887752886307691,2087893894.535169,36001.06107243897,16394.279324414383,8364.87842659056,176931038.20031738,black
30.576441102756892,67317498.05271888,0.0,97569700.82527933,0.0,0.352943584683337,1.5072411128067436,723.5317198413479,10.593300106532219,2488286818.0631194,36914.84391935807,16805.79136771591,8192.528691186142,210862334.09974748,black
31.07769423558897,67442353.26690313,0.0,97784164.0934086,0.0,0.35294346059654236,1.394941869703535,671.1267444606116,9.439800387600197,2965462615.3729753,37851.81798145106,17228.336636510758,8022.023340276225,251300650.63029128,black
31.57894736842105,67553415.5489774,0.0,97975076.35583916,0.0,0.3529433947558684,1.3025832752745714,622.5174062211528,8.411905282186082,3534145846.571459,38812.57183906139,17662.120326771266,7853.482180313377,299493831.4717738,black
32.08020050125313,67652184.58167785,0.0,98144970.92876329,0.0,0.35294336742454996,1.2266245289023956,577.4287934075962,7.495937648592374,4211884783.3059406,39797.70901002881,18107.362222722484,7687.011149685624,356929017.9033345,black
32.581453634085214,67740001.95122091,0.0,98296119.38492678,0.0,0.35294336572169,1.164153557699754,535.6059054950271,6.679709660199689,5019592908.174465,40807.848328837295,18564.295912777874,7522.703333902306,425378538.5834263,black
33.08270676691729,67818066.7804874,0.0,98430556.38453306,0.0,0.3529433812441903,1.1127753760449781,496.81221104811937,5.952360632273811,5982194257.477263,41843.62433537922,19033.168123581134,7360.639919805859,506954599.6130188,black
33.583959899749374,67887450.0362965,0.0,98550102.6184281,0.0,0.35294340851368655,1.0705202683993404,460.82831006517625,5.304212507991691,7129392520.367024,42905.687673580826,19514.238159414024,7200.891091519445,604174462.4292456,black
34.08521303258145,67949107.57389487,0.0,98656385.90094167,0.0,0.3529434439622779,1.0357682756186162,427.45069320280095,4.726641080781857,8496587626.815394,43994.70550013974,20007.777435553828,7043.516870837924,720038120.7513229,black
34.58646616541353,68003891.99150367,0.0,98750860.47858472,0.0,0.3529434852701331,1.0071870899362254,396.49059086510175,4.211961239502475,10125968109.373781,45111.36190363215,20514.069095379356,6888.567904746,858120873.610792,black
35.08771929824561,68052563.37320088,0.0,98834824.64039737,0.0,0.35294353093289615,0.9836809776316111,367.77290564832,3.7533247093836732,12067812945.242613,46256.3583342531,21033.407702131502,6736.086202707728,1022683650.950347,black
35.58897243107769,68095799.00059211,0.0,98909436.72810487,0.0,0.3529435799791708,0.9643487713117026,341.13522210417995,3.3446289281019443,14382043050.866045,47430.41404446055,21566.0989972434,6586.105826316293,1218804496.2164268,black
36.09022556390977,68134202.11353523,0.0,98975729.65112211,0.0,0.35294363178601823,0.9484493213663615,316.42688822229445,2.980435844479082,17140070305.608519,48634.26654079995,22112.459718066613,6438.65353382745,1452535263.2808745,black
36.59147869674185,68168309.79829016,0.0,99034624.0141855,0.0,0.3529436859584661,0.9353730820777938,293.5081634370733,2.655899559275556,20427001160.123367,49868.67204719398,22672.81746864235,6293.749382025774,1731088362.9128807,black
37.092731829573935,68198600.07837303,0.0,99086939.9650416,0.0,0.352943742250821,0.9246187430891126,272.24942834115984,2.366701845258557,24344262827.079197,51134.4059799881,23247.51063790619,6151.407287791817,2063059321.3152711,black
37.59398496240601,68225498.27951816,0.0,99133407.86706015,0.0,0.3529438005152839,0.9157740103628152,252.53045163654156,2.10899468858785,29012733094.893806,52432.26343505125,23836.888360378394,6011.635551652131,2458692018.5768323,black
38.095238095238095,68249382.73581006,0.0,99174677.89754294,0.0,0.3529438606683968,0.9084997998011041,234.23971017766203,1.879349086928408,34576470342.41834,53763.05968723732,24441.310514984612,5874.437345505497,2930194791.6121116,black
38.59649122807017,68270589.89944895,0.0,99211328.6673626,0.0,0.3529439226691339,0.9025172375514293,217.27375826123543,1.6747094229762995,41207158850.8497,55127.6307025214,25061.147758181316,5739.811166627462,3492117155.5105777,black
39.097744360902254,68289418.91194211,0.0,99243874.95179099,0.0,0.35294398650459946,0.8975969686414242,201.5366425964215,1.4923528063230973,49109406591.42647,56526.83366313305,25696.781588032944,5607.751259962813,4161798768.5964727,black
39.59899749373433,68306135.6899028,0.0,99272774.61629708,0.0,0.3529440521806936,0.8935503640450156,186.93935964667386,1.3298528426180483,58527058963.37468,57961.547506015915,26348.60443630644,5478.248010624127,4959904494.967706,black
40.100250626566414,68320976.57416005,0.0,99298434.81489128,0.0,0.35294411971602263,0.8902222890830487,173.39935227446145,1.1850473479347314,69750723306.83974,59432.67347495279,27017.019786022545,5351.288308422779,5911062075.084711,black
40.6015037593985,68334151.58660258,0.0,99321217.5324541,0.0,0.3529441891379287,0.8874851559219109,160.84004284248192,1.0560095787575963,83126736384.30978,60941.13568670227,27702.442312233554,5226.855886168656,7044622081.825019,black
41.10275689223057,68345847.3351437,0.0,99341444.53653346,0.0,0.35294426047990496,0.8852340321539225,149.19040013092504,0.941022594762213,99067851547.12216,62487.88171150338,28405.298044090807,5104.931633386619,8395563612.562173,black
41.60401002506266,68356229.6034151,0.0,99359401.79839289,0.0,0.3529443337799151,0.8833826179330307,138.3845376215948,0.8385564132519053,118065975366.95784,64073.883168312575,29126.024546524397,4985.493887011517,10005573664.718683,black
42.10526315789473,68365445.65828718,0.0,99375343.43770288,0.0,0.3529444090793039,0.8818599374388166,128.36134087709473,0.7472476512623826,140707346748.8883,65700.13633514677,29865.07112008733,4868.518700540018,11924333501.281517,black
42.606516290726816,68373626.30507389,0.0,99389495.24021411,0.0,0.3529444864220952,0.8806076178303551,119.06412190797597,0.6658813844607111,167690626933.97812,67367.66277491675,30622.899017719843,4753.9800930362535,14211051701.873775,black
43.10776942355889,68380887.7173102,0.0,99402057.79306059,0.0,0.35294456585454226,0.8795776513683168,110.44029857311403,0.5933749814401599,199848458603.4701,69077.50997714297,31399.981677368338,4641.85027931056,16936291205.486565,black
43.609022556390975,68387333.06527129,0.0,99413209.27799997,0.0,0.35294464742484327,0.8787305549098684,102.44109720017826,0.5287636983034842,238173159325.61624,70830.75201595794,32196.804969552635,4532.099882515347,20184146721.232483,black
44.11027568922306,68393053.96492653,0.0,99423107.95890807,0.0,0.35294473118296704,0.8780338562188725,95.02127674464985,0.47118784186929025,283847342226.571,72628.49022480784,33013.8674591149,4424.698130330065,24054839700.461266,black
44.611528822055135,68398131.76677878,0.0,99431894.39620003,0.0,0.352944817180548,0.8774608490572745,88.13887292727782,0.41988133068146377,338280408746.4699,74471.85388827743,33851.68068050769,4319.613035838526,28667810943.21416,black
45.11278195488722,68402638.70200334,0.0,99439693.41752192,0.0,0.3529449054708298,0.8769895693315016,81.7549609030324,0.37416150161578815,403152039561.3624,76362.00095147321,34710.76942608747,4216.811564135996,34165406269.582516,black
45.614035087719294,68406638.90146677,0.0,99446615.87103523,0.0,0.35294499610863916,0.8766019530412796,75.83343511931545,0.33342002644579866,480464025624.42975,78300.11874740956,35591.67204697716,4116.259785640906,40717268980.83763,black
46.11528822055138,68410189.30154589,0.0,99452760.18487135,0.0,0.3529450891503805,0.8762831437525748,70.34080511897614,0.2971148175330191,572602039172.4896,80287.42474285648,36494.940766146756,4017.923017025923,48525574690.501816,black
46.616541353383454,68413340.4491918,0.0,99458213.75387892,0.0,0.3529451846540449,0.8760209230341507,65.24600613201008,0.264762814860025,682409249660.7808,82325.16730311468,37421.142003435474,3921.7659506280665,57831269962.902756,black
47.11779448621554,68416137.21732372,0.0,99463054.17251657,0.0,0.3529452826792283,0.8758052420374679,60.52022338672498,0.23593355854444514,813274058006.4298,84414.62647620197,38370.85671230903,3827.7527731412197,68921507418.56763,black
47.61904761904761,68418619.44046403,0.0,99467350.33077647,0.0,0.35294538328715613,0.8756278362473688,56.13672914493345,0.21024346120119258,969234654655.2053,86557.11479694047,39344.68072820112,3735.847274346699,82138506587.35582,black
48.1203007518797,68420822.47943056,0.0,99471163.38818267,0.0,0.3529454865407135,0.8754819086427507,52.07073154070357,0.18735070400753612,1155103629011.977,88753.97811145133,40343.225128344944,3646.012946586982,97890114029.70546,black
48.62155388471178,68422777.72295149,0.0,99474547.63930473,0.0,0.3529455925044778,0.8753618691171485,48.299234367379555,0.16695068853366432,1376616475017.6091,91006.59642257469,41367.11660304523,3558.21307564368,116662388555.0387,black
49.122807017543856,68424513.03320454,0.0,99477551.28276631,0.0,0.35294570124475505,0.875263120169674,44.80090701996788,0.14877198382397772,1640608575449.4395,93316.38475674574,42416.99783838466,3472.410823637543,139034599891.3225,black
49.62406015037594,68426053.14151457,0.0,99480217.10442798,0.0,0.3529458128296176,0.8751818806502504,41.55596385737152,0.13257271480139476,1955226126291.8584,95684.79405287164,43493.52791039593,3388.5693045279822,165697103631.76135,black
50.125313283208015,68427419.9997577,0.0,99482583.08425775,0.0,0.3529459273289443,0.8751150408019357,38.546052302216175,0.11813734393872151,2330177509822.5757,98113.31207376713,44597.38269076436,3306.6516527516255,197472644038.7566,black
50.6265664160401,68428633.09240822,0.0,99484682.93536195,0.0,0.35294604481446257,0.875060043042989,35.75414904542519,0.10527380337402714,2777032873215.975,100603.46434072238,45729.25526415717,3226.6210855035483,235341742061.18533,black
51.127819548872175,68429709.71361883,0.0,99486546.58271883,0.0,0.352946165359791,0.8750147839181458,33.16446376853714,0.09381093931002772,3309581156977.987,103156.815091789,46889.85635730239,3148.44095913131,280472951981.47595,black
51.62907268170426,68430665.2132387,0.0,99488200.58832687,0.0,0.35294628904048436,0.8749775334601828,30.762349839298267,0.08359623469368699,3944255590795.2876,105774.9682643873,48079.914779966566,3072.074820080193,334258920385.9405,black
52.130325814536334,68431513.21524115,0.0,99489668.52874039,0.0,0.35294641593407994,0.8749468688700475,28.5342214753491,0.0744937798695304,4700640784579.961,108459.56850285055,49300.177878001894,2997.4864507985985,398359359982.1895,black
52.63157894736842,68432265.81164557,0.0,99490971.33030261,0.0,0.35294654612014453,0.8749216199734607,26.46747690775028,0.06638246421270019,5602077065442.731,111212.30219154125,50551.41199865673,2924.6399109843696,474752264596.9466,black
53.1328320802005,68432933.73467642,0.0,99492127.56680037,0.0,0.3529466796803239,0.8749008243625432,24.55042710963705,0.059154364673269094,6676380707597.765,114034.89851418635,51834.402968360635,2853.4995745271044,565794945608.7556,black
53.63408521303258,68433526.50959674,0.0,99493153.72373989,0.0,0.3529468166983928,0.8748836905027653,22.772229686931663,0.05271330979044635,7956702278811.182,116929.13054009805,53149.95658321492,2784.0301624768813,674296773172.5408,black
54.13533834586466,68434052.5903803,0.0,99494064.43297566,0.0,0.3529469572603068,0.8748695673909359,21.12282755730165,0.04697360007190478,9482549591707.08,119896.81633796227,54498.89911243581,2716.1967723469365,803605867008.3849,black
54.63659147869674,68434519.48014654,0.0,99494872.68101032,0.0,0.3529471014542559,0.8748579196009234,19.592892070526677,0.04185886771043893,11301006825355.738,122939.82011789399,55882.07781501357,2649.9649040364625,957712411790.5096,black
55.13784461152882,68434933.83806676,0.0,99495589.99391317,0.0,0.3529472493707186,0.8748483067604162,18.17377024858165,0.037301060465293696,13468187435448.635,126060.05340247782,57300.36146986626,2585.300482639628,1141371785128.3857,black
55.639097744360896,68435301.57425885,0.0,99496226.60147658,0.0,0.35294740110251843,0.8748403666719461,16.857435847078534,0.03323953618860963,16050965688126.41,129259.47622752794,58754.64091978057,2522.1698783882207,1360251297721.8494,black
